客户ID,产品名称,交易类型,产品ID,产品成本,利润,单价,年份,订单数量,销售区域ID,销售金额
11039,车胎和内胎,1.0,517.0,4.5217,7.5683,12.089999999999998,2016.0,1,9,12.089999999999998
11040,山地自行车,2.0,353.0,1265.6195,1054.3705,2319.99,2015.0,1,1,2319.99
11040,挡泥板,2.0,485.0,8.2205,13.7595,21.98,2015.0,1,1,21.98
11040,袜子,2.0,481.0,3.3623,5.6277,8.99,2015.0,1,1,8.99
11041,山地自行车,1.0,359.0,1251.9813,1043.0087,2294.99,2015.0,1,4,2294.99
11041,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,4,21.98
11041,背心,1.0,471.0,23.749000000000002,39.751,63.5,2015.0,1,4,63.5
11042,山地自行车,1.0,355.0,1265.6195,1054.3705,2319.99,2015.0,1,4,2319.99
11042,旅行自行车,1.0,568.0,461.4448,280.9052,742.35,2016.0,1,4,742.35
11042,骑行服,1.0,234.0,38.4923,11.4977,49.99,2016.0,1,4,49.99
11043,帽子,2.0,225.0,6.9223,2.0677,8.99,2015.0,1,4,8.99
11043,车胎和内胎,1.5,533.0,7.29115,12.20385,19.495,2015.5,1,4,19.495
11044,山地自行车,1.0,357.0,1575.03785,1259.95215,2834.99,2014.5,1,9,2834.99
11044,旅行自行车,1.0,572.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11044,水壶和水壶架,1.0,478.0,2.6143,4.3757,6.99,2016.0,1,9,6.99
11044,车胎和内胎,1.0,537.0,13.09,21.91,35.0,2016.0,1,9,35.0
11044,骑行服,1.0,490.0,41.5723,12.4177,53.99,2016.0,1,9,53.99
11045,头盔,2.0,222.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11045,车胎和内胎,2.0,531.5,5.6063,9.383700000000001,14.989999999999998,2015.0,1,9,14.989999999999998
11045,骑行服,3.0,228.0,38.4923,11.4977,49.99,2016.0,1,9,49.99
11046,头盔,3.0,214.0,13.0863,21.9037,34.99,2016.0,1,9,34.99
11046,山地自行车,2.0,351.0,1581.8569499999999,1265.63305,2847.49,2014.5,1,9,2847.49
11046,手套,3.0,465.0,9.1593,15.3307,24.49,2016.0,1,9,24.49
11046,挂架,3.0,483.0,44.88,75.12,120.0,2016.0,1,9,120.0
11046,旅行自行车,3.0,571.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11047,山地自行车,2.0,351.0,1588.88695,1271.1030500000002,2859.99,2014.5,1,9,2859.99
11047,挂架,3.0,483.0,44.88,75.12,120.0,2016.0,1,9,120.0
11047,旅行自行车,1.0,567.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11048,山地自行车,1.5,356.0,1575.03785,1259.95215,2834.99,2014.5,1,9,2834.99
11048,帽子,2.0,225.0,6.9223,2.0677,8.99,2016.0,1,9,8.99
11048,旅行自行车,1.0,585.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11048,水壶和水壶架,2.0,477.5,2.8013,4.6887,7.49,2016.0,1,9,7.49
11048,清洁剂,1.0,484.0,2.9733,4.9767,7.95,2016.0,1,9,7.95
11048,骑行服,2.0,489.0,41.5723,12.4177,53.99,2016.0,1,9,53.99
11049,头盔,1.0,214.0,13.0863,21.9037,34.99,2015.0,1,4,34.99
11049,车胎和内胎,2.0,518.5,4.326275,7.241224999999999,11.5675,2015.5,1,4,11.5675
11050,头盔,3.0,222.0,13.0863,21.9037,34.99,2016.0,1,9,34.99
11050,山地自行车,1.0,468.5,1158.9364,913.3036,2072.24,2014.0,1,9,2072.24
11050,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11050,旅行自行车,3.0,566.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11050,背心,1.0,473.0,23.749000000000002,39.751,63.5,2015.0,1,9,63.5
11051,头盔,2.0,222.0,13.0863,21.9037,34.99,2016.0,1,9,34.99
11051,帽子,1.0,225.0,6.9223,2.0677,8.99,2016.0,1,9,8.99
11051,车胎和内胎,2.0,531.5,5.6063,9.383700000000001,14.989999999999998,2016.0,1,9,14.989999999999998
11051,骑行服,1.0,228.0,38.4923,11.4977,49.99,2016.0,1,9,49.99
11052,头盔,1.0,222.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11052,山地自行车,1.0,356.0,1575.03785,1259.95215,2834.99,2014.0,1,9,2834.99
11052,旅行自行车,1.0,575.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11052,车胎和内胎,1.0,515.0,5.270933333333334,8.8224,14.093333333333334,2015.0,1,9,14.093333333333334
11053,头盔,1.0,217.0,13.0863,21.9037,34.99,2015.0,1,4,34.99
11053,山地自行车,1.0,363.0,1251.9813,1043.0087,2294.99,2015.0,1,4,2294.99
11054,头盔,1.0,214.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11054,山地自行车,1.0,351.5,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11054,旅行自行车,1.0,564.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11054,水袋背包,1.0,487.0,20.5663,34.4237,54.99,2015.0,1,9,54.99
11054,骑行服,1.0,488.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11055,头盔,1.0,217.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11055,山地自行车,1.0,352.0,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11055,旅行自行车,1.0,562.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11055,水壶和水壶架,1.0,478.0,2.6143,4.3757,6.99,2015.0,1,9,6.99
11055,车胎和内胎,1.0,532.5,7.47815,12.51685,19.995,2015.0,1,9,19.995
11056,头盔,1.0,222.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11056,山地自行车,1.0,351.5,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11056,手套,1.0,463.0,9.1593,15.3307,24.49,2015.0,1,9,24.49
11056,旅行自行车,1.0,562.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11056,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2015.0,1,9,7.49
11056,骑行服,1.0,489.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11057,山地自行车,2.0,354.0,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11057,旅行自行车,3.0,562.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11057,袜子,3.0,482.0,3.3623,5.6277,8.99,2015.0,1,9,8.99
11058,头盔,3.0,217.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11058,山地自行车,1.5,351.0,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11058,旅行自行车,3.0,573.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11058,水袋背包,1.0,487.0,20.5663,34.4237,54.99,2015.0,1,9,54.99
11058,骑行服,3.0,488.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11059,帽子,1.0,225.0,6.9223,2.0677,8.99,2015.0,1,9,8.99
11059,水壶和水壶架,1.0,477.75,2.7078,4.5322,7.24,2015.0,1,9,7.24
11059,车胎和内胎,1.0,535.0,9.3463,15.6437,24.99,2015.0,1,9,24.99
11059,骑行服,1.0,489.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11060,头盔,3.0,214.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11060,山地自行车,1.0,349.0,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11060,旅行自行车,3.0,575.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11060,水壶和水壶架,3.0,478.0,2.6143,4.3757,6.99,2015.0,1,9,6.99
11061,头盔,1.0,214.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11061,山地自行车,1.0,352.5,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11061,旅行自行车,1.0,564.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11061,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2015.0,1,9,7.49
11062,头盔,1.0,222.0,13.0863,21.9037,34.99,2015.0,1,1,34.99
11062,山地自行车,1.0,361.0,1251.9813,1043.0087,2294.99,2015.0,1,1,2294.99
11062,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,1,21.98
11063,山地自行车,1.0,363.0,1251.9813,1043.0087,2294.99,2015.0,1,1,2294.99
11063,帽子,1.0,225.0,6.9223,2.0677,8.99,2015.0,1,1,8.99
11063,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2015.0,1,1,7.49
11063,骑行服,1.0,490.0,41.5723,12.4177,53.99,2015.0,1,1,53.99
11064,山地自行车,1.0,359.0,1251.9813,1043.0087,2294.99,2015.0,1,4,2294.99
11064,水壶和水壶架,1.0,478.0,3.7363,6.2537,9.99,2015.0,1,4,9.99
11065,自行车支架,1.0,486.0,59.466,99.53399999999999,159.0,2015.0,1,4,159.0
11065,车胎和内胎,1.0,506.5,4.073825,6.818675000000001,10.8925,2015.5,1,4,10.8925
11066,头盔,1.0,222.0,13.0863,21.9037,34.99,2016.0,1,1,34.99
11066,车胎和内胎,1.0,518.5,4.326275,7.241224999999999,11.5675,2015.25,1,1,11.5675
11067,头盔,1.0,222.0,13.0863,21.9037,34.99,2016.0,1,1,34.99
11067,手套,1.0,463.0,9.1593,15.3307,24.49,2016.0,1,1,24.49
11067,车胎和内胎,1.0,518.5,4.326275,7.241224999999999,11.5675,2016.0,1,1,11.5675
11068,手套,3.0,467.0,9.1593,15.3307,24.49,2015.0,1,9,24.49
11068,挡泥板,3.0,485.0,8.2205,13.7595,21.98,2016.0,1,9,21.98
11068,水壶和水壶架,2.0,477.75,2.7078,4.5322,7.24,2015.5,1,9,7.24
11068,清洁剂,3.0,484.0,2.9733,4.9767,7.95,2016.0,1,9,7.95
11068,车胎和内胎,3.0,531.5,5.6063,9.383700000000001,14.989999999999998,2016.0,1,9,14.989999999999998
11069,山地自行车,1.0,351.0,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11069,旅行自行车,3.0,561.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11070,山地自行车,1.5,353.5,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11070,旅行自行车,2.0,562.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11070,清洁剂,2.0,484.0,2.9733,4.9767,7.95,2015.0,1,9,7.95
11070,车胎和内胎,2.0,516.0,4.896316666666666,8.19535,13.091666666666667,2015.0,1,9,13.091666666666667
11071,水壶和水壶架,1.0,477.75,2.7078,4.5322,7.24,2015.5,1,9,7.24
11071,车胎和内胎,1.0,507.5,5.1014,8.5386,13.639999999999999,2015.0,1,9,13.639999999999999
11071,骑行服,1.0,488.0,41.5723,12.4177,53.99,2016.0,1,9,53.99
11072,山地自行车,1.5,349.5,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11072,挡泥板,2.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11072,旅行自行车,1.0,561.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11072,水壶和水壶架,1.0,478.0,2.6143,4.3757,6.99,2015.0,1,9,6.99
11072,骑行服,2.0,490.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11073,头盔,1.0,219.5,13.0863,21.9037,34.99,2015.0,1,9,34.99
11073,帽子,2.0,225.0,6.9223,2.0677,8.99,2016.0,1,9,8.99
11073,水壶和水壶架,1.5,477.75,2.7078,4.5322,7.24,2015.5,1,9,7.24
11073,车胎和内胎,1.0,531.5,5.6063,9.383700000000001,14.989999999999998,2015.0,1,9,14.989999999999998
11073,骑行服,1.0,490.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11074,头盔,1.0,222.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11074,水壶和水壶架,1.0,478.0,2.9883,5.0017,7.989999999999999,2015.0,1,9,7.989999999999999
11074,清洁剂,1.0,484.0,2.9733,4.9767,7.95,2015.0,1,9,7.95
11074,车胎和内胎,1.0,507.5,5.1014,8.5386,13.639999999999999,2015.0,1,9,13.639999999999999
11075,山地自行车,1.5,357.0,1575.03785,1259.95215,2834.99,2014.0,1,9,2834.99
11075,旅行自行车,1.0,574.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11075,水壶和水壶架,1.0,478.0,2.6143,4.3757,6.99,2015.0,1,9,6.99
11076,山地自行车,1.0,348.5,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11076,旅行自行车,1.0,574.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11076,水袋背包,1.0,487.0,20.5663,34.4237,54.99,2015.0,1,9,54.99
11077,头盔,2.0,214.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11077,山地自行车,1.0,354.0,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11077,旅行自行车,2.0,576.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11077,水袋背包,1.0,487.0,20.5663,34.4237,54.99,2015.0,1,9,54.99
11078,头盔,1.0,216.0,13.0863,21.9037,34.99,2015.3333333333333,1,6,34.99
11078,手套,1.0,467.0,9.1593,15.3307,24.49,2015.0,1,6,24.49
11078,挂架,3.0,483.0,44.88,75.12,120.0,2016.0,1,6,120.0
11078,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,6,21.98
11078,水壶和水壶架,2.0,478.0,2.6143,4.3757,6.99,2016.0,1,6,6.99
11078,清洁剂,1.0,484.0,2.9733,4.9767,7.95,2015.0,1,6,7.95
11078,短裤,1.0,474.0,26.1763,43.8137,69.99,2016.0,1,6,69.99
